Repository,AI_Score,Pre_Avg_MI,Pre_Median_MI,Pre_StdDev_MI,Post_Avg_MI,Post_Median_MI,Post_StdDev_MI,MI_Change_Percent
geldata/gel,3,59.29997849302798,59.61548707754219,32.27264778856372,56.23598747106752,57.28653075284947,31.75829146734561,-5.166934457355159
getsentry/sentry,11,72.20541096101923,68.52307433385658,24.20332736965833,68.45141843817771,64.36053324294122,25.036324524957447,-5.199045989597847
Netflix/metaflow,6,62.07009395536837,61.85540790520591,23.80284388033969,58.81874018318056,59.3947753249204,26.87545037760837,-5.238196956050533
hummingbot/hummingbot,3,62.07357264323596,58.0606519048266,24.16653650033137,58.802446818900535,55.05301590153445,28.05558384908185,-5.2697560089476765
pytorch/pytorch,9,61.6752816577768,59.31974762077046,23.49321693942919,58.386945403211286,57.08677039462231,28.332943351979043,-5.331692318507441
scrapy/scrapy,3,63.31406201488006,57.75013459156954,21.670888699562003,59.69088602239242,56.5228113562586,21.57018093107685,-5.7225454775530284
rq/rq,3,64.12456269178473,66.50134689570056,31.3248310038356,60.34400812814232,57.78811303413554,29.651518981040656,-5.895641864746399
kedro-org/kedro,3,76.40695883079891,75.04796703643774,22.646112955439904,71.59851023292974,71.04733218343962,25.53055555146061,-6.293207675648168
cupy/cupy,3,65.11757798955598,58.74326411283924,29.32708847076283,60.895609778210826,57.33199920310247,28.668683029319062,-6.48360756295682
locustio/locust,7,61.1617880561493,58.90513788925423,26.65586689848953,56.91428964543032,57.80111880535871,24.895375737326717,-6.944692994945764
python-pillow/Pillow,3,62.7526934510088,62.05320696975659,23.581954760724383,58.17404760440022,58.49080464414951,24.51889620455174,-7.296333583168253
PaddlePaddle/PaddleDetection,3,58.5098498820515,53.97373527834792,24.08281486315565,54.0169382956701,49.652766113562535,24.556973721655886,-7.678897818809211
python-telegram-bot/python-telegram-bot,2,83.17404725890805,92.85530704925112,21.96801310643032,76.61542261375288,80.75534566970896,21.290311227550283,-7.885422029228867
sherlock-project/sherlock,3,74.2876857405201,84.90604914665005,23.98442721344574,68.35105057491623,69.19300235403075,24.389144306748445,-7.991412178782878
ludwig-ai/ludwig,2,73.0310655564241,75.23108899213375,26.01232646465884,67.1060303171934,64.75467846986845,26.280820598041974,-8.1130340822605
lra/mackup,6,73.77480917366603,69.0935801393045,19.513938350978943,67.76405084679452,62.91710315872875,20.455915564020565,-8.147440019427464
apache/airflow,8,86.19077000928526,100.0,20.579278356032983,78.77482869649675,83.98407217934735,23.741747019779776,-8.604101473962457
wkentaro/labelme,2,59.79943805790023,59.82635880217123,25.5048516786002,54.60935447403297,49.65055249557635,28.97051546147124,-8.679151096440094
